z,mu,sig
0.2576,40.6088,0.22531
0.258,40.528,0.231214
0.25847,40.4663,0.209281
0.25855,40.51,0.149785
0.25911,40.5418,0.163699
0.25908,40.2879,0.178603
0.25912,40.4255,0.162943
0.25935,40.5238,0.233841
0.25954,40.442,0.169977
0.26051,40.5033,0.171288
0.26086,40.6128,0.185932
0.2613,40.447,0.207526
0.26151,40.4182,0.225542
0.26162,40.6874,0.258941
0.26162,40.681,0.233293
0.26166,40.392,0.226027
0.26173,40.6935,0.249126
0.26187,40.7216,0.216893
0.2629,41.2641,0.514634
0.26309,40.6388,0.170092
0.26348,40.3997,0.177345
0.26384,40.5588,0.167704
0.26386,40.3035,0.205843
0.26395,40.6342,0.381046
0.26405,40.5074,0.238455
0.26462,40.5153,0.197965
0.26451,40.6719,0.256474
0.2657,40.6087,0.219728
0.26576,40.3244,0.206109
0.26629,40.2901,0.264978
0.26687,40.5463,0.204902
0.26794,40.5103,0.202065
0.26804,40.4623,0.232043
0.2685,40.579,0.191142
0.26848,40.4553,0.240404
0.26879,40.6039,0.217156
0.27006,40.6363,0.197002
0.2701,40.5089,0.164866
0.27045,40.5139,0.20931
0.27085,40.4887,0.166124
0.27129,40.5677,0.123404
0.27265,40.5415,0.173203
0.2734,40.4721,0.208686
0.27444,40.7399,0.293068
0.27511,40.7769,0.239421
0.27508,40.5286,0.241865
0.27574,40.6631,0.213576
0.27619,40.6749,0.180061
0.27656,40.8504,0.272235
0.27764,40.6186,0.24474
0.27784,40.9187,0.17803
0.27924,40.7037,0.164335
0.2798,40.5056,0.19932
0.27987,40.5664,0.153331
0.28049,40.6663,0.153096
0.28122,40.6224,0.174763
0.28198,40.5986,0.166629
0.28256,40.744,0.297355
0.28333,40.6596,0.184378
0.28395,40.5735,0.154134
0.28436,40.5431,0.186562
0.28434,40.6919,0.20709
0.28468,41.1135,0.351325
0.28547,40.7046,0.185989
0.28577,40.671,0.173206
0.28655,40.6389,0.217509
0.28723,40.5691,0.250397
